Points,Qualified,Eliminated,Dif
Brazil,37,0,0,0
Uruguay,27,0,0,0
Colombia,26,0,0,0
Peru,24,0,0,0
Argentina,24,0,0,0
Chile,23,0,0,0
Paraguay,21,0,0,0
Ecuador,20,0,0,0
Bolivia,13,0,0,0
Venezuela,8,0,0,0
